anonID,importId,goal,goal_number,goal_type,optimal_moves,move_id,move,move_utility
cPbriGMj7J,26365,cover red all,4,cover,5,0,"(80, 60)",1
cPbriGMj7J,26365,cover red all,4,cover,5,1,"(67, 42)",0
cPbriGMj7J,26365,cover red all,4,cover,5,2,"(85, 24)",1
cPbriGMj7J,26365,cover red all,4,cover,5,3,"(65, 6)",1
cPbriGMj7J,26365,cover red all,4,cover,5,4,"(104, 87)",1
cPbriGMj7J,26365,cover red all,4,cover,5,5,"(103, 89)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,0,"(79, 81)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,1,"(80, 82)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,2,"(98, 64)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,3,"(97, 63)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,4,"(78, 45)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,5,"(96, 47)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,6,"(67, 46)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,7,"(85, 28)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,8,"(102, 27)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,9,"(103, 29)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,10,"(104, 10)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,11,"(105, 9)",1
cPbriGMj7J,26365,fill nocolor B2,5,fill,13,12,"(107, 11)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,0,"(105, 84)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,1,"(107, 86)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,2,"(88, 68)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,3,"(65, 66)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,4,"(83, 48)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,5,"(101, 49)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,6,"(100, 50)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,7,"(106, 31)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,8,"(99, 13)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,9,"(79, 30)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,10,"(97, 32)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,11,"(78, 12)",1
cPbriGMj7J,26365,fill nocolor C1,6,fill,13,12,"(96, 14)",1
