anonID,importId,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
z8UNTObuWf,68825,move green A,"(78, 77)",15,7,"[(79, 55) (79, 38) (98, 38) (98, 55) (98, 57) (98, 58) (98, 72) (98, 77)
 (107, 38) (107, 55) (107, 57) (107, 58) (107, 72) (107, 77) (78, 72)]",1.0,42,20.334,"['fill nocolor A2', 'move red A', 'clear nocolor B1', 'move red A2', 'clear nocolor B', 'move green A2', 'move green A']"
z8UNTObuWf,68825,move red B1,"(95, 60)",10,6,"[(99, 60) (99, 61) (99, 80) (100, 60) (100, 61) (100, 80) (65, 60)
 (90, 60) (90, 61) (90, 80)]",1.0,45,21.995,"['fill nocolor B1', 'clear nocolor A', 'move red B', 'cover green all', 'clear nocolor A2', 'move red B1']"
z8UNTObuWf,68825,uncover blue all,"(73, 72)",15,9,"[(86, 85) (86, 89) (86, 47) (86, 60) (86, 61) (86, 72) (86, 77) (86, 80)
 (86, 81) (86, 82) (56, 47) (56, 60) (56, 61) (56, 80) (56, 89)]",1.0,40,19.704,"['move blue C1', 'uncover blue all', 'cover red all', 'move blue C2', 'move blue B2', 'move blue B', 'move blue B1', 'move blue A2', 'move blue C']"
z8UNTObuWf,68825,uncover green all,"(56, 72)",19,10,"[(65, 81) (65, 82) (79, 81) (79, 82) (79, 57) (79, 58) (79, 68) (79, 70)
 (79, 72) (79, 77) (79, 84) (79, 85) (65, 70) (65, 72) (65, 77) (65, 85)
 (65, 57) (65, 58) (87, 70)]",1.0,40,19.459,"['uncover blue all', 'move green B2', 'move green B', 'move green B1', 'cover red all', 'move green C', 'uncover green all', 'move green A2', 'move green C2', 'move green C1']"
bhOqMpzkB4,27392,clear nocolor A2,"(94, 38)",7,4,"[(77, 38) (77, 36) (93, 36) (93, 37) (93, 38) (94, 36) (94, 37)]",1.0,45,21.59,"['fill nocolor A1', 'cover red all', 'move blue A1', 'clear nocolor A2']"
bhOqMpzkB4,27392,clear nocolor C1,"(85, 86)",69,2,"[(85, 70) (84, 53) (104, 53) (104, 70) (104, 87) (85, 53) (85, 63)
 (85, 75) (85, 76) (85, 87) (104, 96) (104, 98) (85, 37) (85, 65) (85, 96)
 (85, 98) (104, 36) (104, 37) (104, 38) (104, 59) (104, 63) (104, 65)
 (104, 75) (104, 76) (104, 79) (104, 82) (84, 36) (84, 37) (84, 65)
 (85, 36) (85, 38) (85, 59) (85, 79) (85, 82) (84, 38) (84, 70) (84, 87)
 (84, 96) (84, 98) (84, 59) (84, 63) (84, 75) (84, 76) (84, 79) (84, 82)
 (54, 38) (81, 82) (83, 63) (84, 86) (85, 66) (88, 87) (97, 96) (97, 98)
 (56, 36) (93, 59) (93, 76) (94, 59) (94, 75) (100, 63) (100, 65)
 (104, 66) (104, 67) (105, 53) (105, 70) (56, 37) (71, 70) (71, 87)
 (77, 75) (77, 76)]",0.0,45,21.249,"['uncover blue all', 'cover green all']"
bhOqMpzkB4,27392,cover green all,"(56, 36)",0,1,[],1.0,66,32.767,['cover green all']
bhOqMpzkB4,27392,cover red all,"(93, 59)",0,1,[],1.0,52,25.687,['cover red all']
bhOqMpzkB4,27392,fill nocolor B2,"(97, 82)",2,4,"[(97, 63) (97, 65)]",1.0,39,19.574,"['fill nocolor B2', 'move red B2', 'clear nocolor B1', 'cover red all']"
bhOqMpzkB4,27392,fill nocolor C1,"(83, 86)",36,14,"[(71, 86) (71, 66) (105, 66) (105, 67) (105, 86) (71, 67) (93, 66)
 (93, 67) (93, 86) (94, 66) (94, 67) (94, 86) (97, 66) (97, 67) (97, 86)
 (100, 66) (100, 67) (100, 86) (55, 66) (55, 67) (77, 66) (77, 67)
 (77, 86) (83, 66) (83, 67) (56, 66) (56, 86) (88, 66) (88, 67) (88, 86)
 (54, 66) (54, 86) (55, 86) (81, 66) (81, 67) (81, 86)]",1.0,39,18.929,"['move blue C1', 'move blue A', 'uncover blue all', 'fill nocolor C1', 'clear nocolor B2', 'move green C', 'move blue C2', 'clear nocolor B', 'move blue A1', 'move blue B1', 'move blue A2', 'move blue C', 'cover green all', 'move green C1']"
